Price,Resid_area,Air_qual,Num_rooms,Age,Teachers,Poor_prop,N_hos_beds,N_hot_rooms,Rainfall,Parks,Airport,Sold
24,32.31,0.538,6.575,65.2,24.7,4.98,5.48,11.192,23,0.049347306,Yes,0
21.6,37.07,0.469,6.421,78.9,22.2,9.14,7.332,12.1728,42,0.046145633,No,1
34.7,37.07,0.469,7.185,61.1,22.2,4.03,7.394,101.12,38,0.045763966,No,0
33.4,32.18,0.458,6.998,45.8,21.3,2.94,9.268,11.2672,45,0.047150598,Yes,0
36.2,32.18,0.458,7.147,54.2,21.3,5.33,8.824,11.2896,55,0.039474005,No,0
28.7,32.18,0.458,6.43,58.7,21.3,5.21,7.174,14.2296,53,0.045909647,Yes,1
22.9,37.87,0.524,6.012,66.6,24.8,12.43,6.958,12.1832,41,0.052169908,Yes,1
22.1,37.87,0.524,6.172,96.1,24.8,19.15,5.842,12.1768,56,0.057074901,No,1
16.5,37.87,0.524,5.631,100,24.8,29.93,5.93,12.132,55,0.056302495,Yes,0
18.9,37.87,0.524,6.004,85.9,24.8,17.1,9.478,14.1512,45,0.050727252,Yes,0
15,37.87,0.524,6.377,94.3,24.8,20.45,6,11.12,29,0.057775258,No,1
18.9,37.87,0.524,6.009,82.9,24.8,13.27,9.278,13.1512,23,0.055236508,No,1
21.7,37.87,0.524,5.889,39,24.8,15.71,5.534,10.1736,57,0.057423248,Yes,1
20.4,38.14,0.538,5.949,61.8,19,8.26,5.908,14.1632,39,0.053463955,Yes,0
18.2,38.14,0.538,6.096,84.5,19,10.26,6.964,13.1456,49,0.059882129,No,0
19.9,38.14,0.538,5.834,56.5,19,8.47,8.498,14.1592,28,0.059750758,Yes,0
23.1,38.14,0.538,5.935,29.3,19,6.58,5.462,10.1848,46,0.054698587,No,0
17.5,38.14,0.538,5.99,81.7,19,14.67,5.45,11.14,56,0.05478547,No,1
20.2,38.14,0.538,5.456,36.6,19,11.69,8.504,12.1616,41,0.054250839,Yes,0
18.2,38.14,0.538,5.727,69.5,19,11.28,8.564,12.1456,27,0.057770199,No,1
13.6,38.14,0.538,5.57,98.1,19,21.02,8.272,15.1088,44,0.048317527,Yes,0
19.6,38.14,0.538,5.965,89.2,19,13.83,9.192,14.1568,23,0.054040555,Yes,0
15.2,38.14,0.538,6.142,91.7,19,18.72,5.804,14.1216,48,0.057413663,Yes,1
14.5,38.14,0.538,5.813,100,19,19.88,7.49,13.116,29,0.052609397,Yes,0
